,Spearman,MAE,RMSE,TweedieDev,cov@10,cov@20,cov@50,prec@10,prec@20,prec@50
LightGBM (Tweedie),0.4319,2.0281,5.6011,3.4543,0.2438,0.3476,0.5096,0.5179,0.4987,0.5015
HistGBM (Poisson),0.4285,2.0685,5.9461,3.5022,0.2418,0.3465,0.5043,0.5077,0.4897,0.4959
CatBoost (Tweedie),0.4311,2.0569,5.5974,3.4351,0.247,0.3462,0.509,0.5256,0.491,0.4995
XGBoost (Tweedie),0.4285,2.0532,5.6049,3.4628,0.2431,0.3457,0.5069,0.5103,0.4897,0.4974
Cell train-mean,0.405,2.1751,5.7994,3.6771,0.234,0.3384,0.4907,0.4897,0.4782,0.4738
Rolling-7d mean,0.4267,1.9834,5.8896,16.8457,0.2347,0.3293,0.4943,0.4846,0.4654,0.4918
Seasonal-naive (lag 7d),0.3404,2.3185,7.6827,90.2864,0.1879,0.2565,0.4019,0.3641,0.3423,0.3697
