h3_9,lat,lon,nearest_highway,road_criticality,hospital,market,retail,school,transit,n_poi,osm_context
8961892e9abffff,12.9816770912326,77.60784972772278,unclassified,0.3,0.0,0.0,0.0,1.0,0.0,1,"unclassified road, 1 school"
8961892e9bbffff,12.980889347426457,77.61016753457861,secondary,0.6,0.0,0.0,0.0,1.0,3.0,4,"secondary road, 1 school, 3 transit"
8960145b323ffff,13.00819037873444,77.54859851639004,residential,0.25,0.0,0.0,1.0,1.0,6.0,8,"residential road, 1 retail, 1 school, 6 transit"
89618920963ffff,12.939764515503825,77.69553100718927,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
89618925983ffff,12.926502414588237,77.58572570211764,secondary,0.6,0.0,0.0,0.0,2.0,0.0,2,"secondary road, 2 school"
8960145b0cbffff,12.99665782871287,77.58414179207921,residential,0.25,0.0,0.0,0.0,1.0,1.0,2,"residential road, 1 school, 1 transit"
89618925b7bffff,12.964632851074256,77.58411570968714,secondary,0.6,1.0,0.0,0.0,1.0,2.0,4,"secondary road, 1 school, 1 hospital, 2 transit"
8960145b3b7ffff,12.998290824767691,77.5525136037809,secondary,0.6,3.0,0.0,1.0,0.0,3.0,7,"secondary road, 1 retail, 3 hospital, 3 transit"
8960145b4dbffff,12.980313721571653,77.60263798084905,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618925b63ffff,12.963862300350057,77.58164655115154,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892e9a3ffff,12.97962000577045,77.60710223500317,tertiary,0.45,0.0,0.0,1.0,1.0,2.0,4,"tertiary road, 1 retail, 1 school, 2 transit"
8960145b5cbffff,12.97373525674976,77.5786676057273,residential,0.25,0.0,1.0,0.0,0.0,0.0,1,"residential road, 1 market"
8961892e937ffff,12.983854847842013,77.60335562822718,tertiary,0.45,0.0,0.0,0.0,3.0,13.0,16,"tertiary road, 3 school, 13 transit"
8961892e9afffff,12.980879838559863,77.60459825197239,tertiary,0.45,0.0,1.0,1.0,0.0,0.0,2,"tertiary road, 1 market, 1 retail"
8960145b16bffff,12.997517550868926,77.54900010240515,secondary,0.6,0.0,0.0,2.0,0.0,1.0,3,"secondary road, 2 retail, 1 transit"
8961892536bffff,12.966436543771044,77.64152168754208,primary,0.8,1.0,0.0,0.0,1.0,2.0,4,"primary road, 1 school, 1 hospital, 2 transit"
89618925c6fffff,12.93491819453125,77.6126630671875,residential,0.25,0.0,0.0,1.0,0.0,1.0,2,"residential road, 1 retail, 1 transit"
8960145b5c3ffff,12.97152617052692,77.57661924576573,tertiary,0.45,1.0,0.0,0.0,0.0,0.0,1,"tertiary road, 1 hospital"
8961892e923ffff,12.984545441531177,77.60317129133374,living_street,0.15,0.0,0.0,0.0,0.0,0.0,0,living_street road
8960145b553ffff,12.976630847034562,77.57630610766313,residential,0.25,0.0,0.0,2.0,0.0,0.0,2,"residential road, 2 retail"
8961892ed47ffff,12.978244654189943,77.62867716871509,secondary,0.6,1.0,0.0,0.0,2.0,1.0,4,"secondary road, 2 school, 1 hospital, 1 transit"
8960145b3a7ffff,12.999719557605784,77.54972175243967,tertiary,0.45,5.0,0.0,0.0,1.0,7.0,13,"tertiary road, 1 school, 5 hospital, 7 transit"
8960145b5dbffff,12.972779151724138,77.58047044954628,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8961892ecbbffff,12.971125029195957,77.64738325170676,secondary,0.6,1.0,0.0,1.0,0.0,0.0,2,"secondary road, 1 retail, 1 hospital"
8960145845bffff,12.987672307172296,77.5376342907542,secondary,0.6,1.0,0.0,0.0,1.0,0.0,2,"secondary road, 1 school, 1 hospital"
8960145b3afffff,13.002851512698411,77.55010605621693,tertiary,0.45,2.0,1.0,2.0,2.0,3.0,10,"tertiary road, 1 market, 2 retail, 2 school, 2 hospital, 3 transit"
8960145b49bffff,12.97138373584475,77.59758747248858,residential,0.25,0.0,0.0,1.0,0.0,0.0,1,"residential road, 1 retail"
8960145b5d3ffff,12.968540268291925,77.57957247503818,residential,0.25,0.0,1.0,0.0,0.0,0.0,1,"residential road, 1 market"
89618925363ffff,12.963613716283374,77.64143218255897,tertiary,0.45,1.0,0.0,0.0,0.0,1.0,2,"tertiary road, 1 hospital, 1 transit"
89618925913ffff,12.931557618786128,77.58376212947977,residential,0.25,0.0,1.0,3.0,0.0,1.0,5,"residential road, 1 market, 3 retail, 1 transit"
89618925c6bffff,12.936011521774194,77.61585163801843,residential,0.25,1.0,0.0,1.0,1.0,0.0,3,"residential road, 1 retail, 1 school, 1 hospital"
8960145844bffff,12.988813660811076,77.53758424409979,secondary,0.6,0.0,0.0,3.0,1.0,3.0,7,"secondary road, 3 retail, 1 school, 3 transit"
89618925b6fffff,12.96484813155883,77.57891700692142,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8961892598bffff,12.928476393617022,77.58579147234043,residential,0.25,0.0,0.0,1.0,3.0,1.0,5,"residential road, 1 retail, 3 school, 1 transit"
8960145b09bffff,12.987060974206347,77.5802997920635,residential,0.25,1.0,0.0,0.0,3.0,1.0,5,"residential road, 3 school, 1 hospital, 1 transit"
8960145b437ffff,12.975467770270267,77.58160687054054,tertiary,0.45,0.0,0.0,0.0,1.0,1.0,2,"tertiary road, 1 school, 1 transit"
8960145a24fffff,12.973552326849342,77.55094984768456,residential,0.25,1.0,0.0,1.0,1.0,2.0,5,"residential road, 1 retail, 1 school, 1 hospital, 2 transit"
8960145b5d7ffff,12.96758941959904,77.57786179735743,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145849bffff,12.972556655847686,77.53796540887652,tertiary,0.45,3.0,1.0,3.0,0.0,5.0,12,"tertiary road, 1 market, 3 retail, 3 hospital, 5 transit"
8961892e16bffff,12.996057936999968,77.6681954762887,primary,0.8,0.0,0.0,0.0,0.0,4.0,4,"primary road, 4 transit"
8961892e01bffff,12.995477173478308,77.69541439144045,primary,0.8,0.0,0.0,0.0,1.0,0.0,1,"primary road, 1 school"
8961892e927ffff,12.984546852857145,77.60130734714286,tertiary,0.45,1.0,0.0,0.0,1.0,1.0,3,"tertiary road, 1 school, 1 hospital, 1 transit"
8960145b32bffff,13.010832472013094,77.55032603256956,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
89618925b3bffff,12.957273590816326,77.58095280663265,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89601458497ffff,12.967736758014984,77.53594023499491,tertiary,0.45,3.0,0.0,0.0,0.0,2.0,5,"tertiary road, 3 hospital, 2 transit"
8960145b557ffff,12.97492496497462,77.57406469898477,primary,0.8,0.0,0.0,0.0,0.0,6.0,6,"primary road, 6 transit"
8960145b113ffff,12.984847421247474,77.55450062882784,residential,0.25,2.0,0.0,1.0,3.0,2.0,8,"residential road, 1 retail, 3 school, 2 hospital, 2 transit"
8961892ed4fffff,12.980475923873708,77.62972853869468,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892e4a7ffff,12.96902032118644,77.70090217118644,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
89618925d97ffff,12.908064980532446,77.60079472861896,trunk,0.9,0.0,0.0,2.0,1.0,1.0,4,"trunk road, 2 retail, 1 school, 1 transit"
896014584dbffff,12.978500272230328,77.54285772143396,primary,0.8,2.0,0.0,0.0,0.0,0.0,2,"primary road, 2 hospital"
89618920927ffff,12.932440275371745,77.68820705718736,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892598fffff,12.928850194551282,77.58266018814102,residential,0.25,2.0,0.0,0.0,1.0,2.0,5,"residential road, 1 school, 2 hospital, 2 transit"
8961892e0cfffff,12.99519819466644,77.69697424073881,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
89618925b6bffff,12.966189849668874,77.58195700728477,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
896189259c7ffff,12.931774634193548,77.5860187716129,secondary,0.6,0.0,0.0,1.0,1.0,0.0,2,"secondary road, 1 retail, 1 school"
8961892ed73ffff,12.976016668216603,77.62625013407643,primary,0.8,1.0,0.0,0.0,1.0,4.0,6,"primary road, 1 school, 1 hospital, 4 transit"
8961892086bffff,12.951440219491683,77.71746003377889,tertiary,0.45,0.0,0.0,2.0,0.0,0.0,2,"tertiary road, 2 retail"
89618924e6fffff,12.905494204347828,77.58581746376812,secondary,0.6,3.0,0.0,0.0,0.0,2.0,5,"secondary road, 3 hospital, 2 transit"
89618920ac3ffff,12.963344852356984,77.73302956674964,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618925863ffff,12.948863852,77.59785962133334,secondary,0.6,3.0,0.0,0.0,4.0,0.0,7,"secondary road, 4 school, 3 hospital"
8960145a6c7ffff,12.946263483883753,77.57033531978288,tertiary,0.45,1.0,0.0,1.0,2.0,0.0,4,"tertiary road, 1 retail, 2 school, 1 hospital"
8960145b08bffff,12.988625816923076,77.57789077999999,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145b10fffff,12.988468948127688,77.55017622673401,primary,0.8,1.0,0.0,0.0,0.0,3.0,4,"primary road, 1 hospital, 3 transit"
89618925917ffff,12.929529802506964,77.58058062033426,tertiary,0.45,1.0,0.0,0.0,1.0,3.0,5,"tertiary road, 1 school, 1 hospital, 3 transit"
896014586d3ffff,12.997949477450836,77.54745500630682,residential,0.25,2.0,0.0,0.0,1.0,1.0,4,"residential road, 1 school, 2 hospital, 1 transit"
89618925b2bffff,12.959353348561404,77.57734154294737,secondary,0.6,0.0,0.0,0.0,0.0,9.0,9,"secondary road, 9 transit"
89618924acbffff,12.914316755963302,77.58580709357798,secondary,0.6,1.0,0.0,0.0,0.0,2.0,3,"secondary road, 1 hospital, 2 transit"
89601458493ffff,12.968831515901872,77.53698052327586,tertiary,0.45,1.0,0.0,0.0,1.0,0.0,2,"tertiary road, 1 school, 1 hospital"
89618925997ffff,12.92295454965945,77.58488081511247,tertiary,0.45,2.0,0.0,1.0,2.0,3.0,8,"tertiary road, 1 retail, 2 school, 2 hospital, 3 transit"
8960145868bffff,12.998000114189187,77.54070180945946,secondary,0.6,2.0,0.0,0.0,1.0,2.0,5,"secondary road, 1 school, 2 hospital, 2 transit"
8960145b5cfffff,12.974319765083798,77.5747752801676,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
89618925bc7ffff,12.95449114652778,77.59149239027778,primary,0.8,1.0,0.0,0.0,0.0,4.0,5,"primary road, 1 hospital, 4 transit"
89618920973ffff,12.938511721871256,77.69746214422713,tertiary,0.45,0.0,0.0,2.0,0.0,0.0,2,"tertiary road, 2 retail"
89618925b17ffff,12.953909351851852,77.58460447407407,secondary,0.6,0.0,0.0,0.0,0.0,3.0,3,"secondary road, 3 transit"
89618925b2fffff,12.958882333174603,77.5756616120635,residential,0.25,0.0,0.0,0.0,2.0,2.0,4,"residential road, 2 school, 2 transit"
8960145b1d3ffff,12.982541925747736,77.56315995515342,secondary,0.6,0.0,0.0,0.0,0.0,1.0,1,"secondary road, 1 transit"
8960145b4b7ffff,12.968049927814567,77.58574472847681,residential,0.25,1.0,0.0,0.0,2.0,1.0,4,"residential road, 2 school, 1 hospital, 1 transit"
89601458627ffff,13.000024870930234,77.52516345465116,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145b1d7ffff,12.983545141121494,77.5602631593458,secondary,0.6,1.0,0.0,2.0,1.0,1.0,5,"secondary road, 2 retail, 1 school, 1 hospital, 1 transit"
8960145b56fffff,12.98191141202199,77.56314272905416,secondary,0.6,0.0,0.0,1.0,0.0,0.0,1,"secondary road, 1 retail"
8960145829bffff,13.008815245054944,77.52677206813188,trunk,0.9,0.0,0.0,0.0,0.0,2.0,2,"trunk road, 2 transit"
8960145b4a7ffff,12.970167449999998,77.583674646,residential,0.25,1.0,0.0,0.0,1.0,0.0,2,"residential road, 1 school, 1 hospital"
8960145a2b7ffff,12.953657606419272,77.54299094206667,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
8960145b1c3ffff,12.985772131967211,77.56008827622951,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
8960145b5c7ffff,12.96969057538502,77.57552472506657,tertiary,0.45,1.0,0.0,0.0,0.0,0.0,1,"tertiary road, 1 hospital"
896189259bbffff,12.92803359229209,77.58074122271805,tertiary,0.45,2.0,0.0,0.0,0.0,1.0,3,"tertiary road, 2 hospital, 1 transit"
89618924ac3ffff,12.911566864367815,77.58551368390805,secondary,0.6,0.0,0.0,0.0,0.0,2.0,2,"secondary road, 2 transit"
8960145a69bffff,12.942944573680595,77.57120060118481,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892e28fffff,13.010215706658933,77.69743873842228,trunk,0.9,4.0,0.0,0.0,0.0,0.0,4,"trunk road, 4 hospital"
8960145b52bffff,12.975624472552516,77.56137573732691,primary,0.8,1.0,0.0,0.0,1.0,0.0,2,"primary road, 1 school, 1 hospital"
89618925b33ffff,12.954993999056605,77.57977704433962,tertiary,0.45,0.0,0.0,0.0,1.0,1.0,2,"tertiary road, 1 school, 1 transit"
89618920933ffff,12.931488912173911,77.69284063652174,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
89618925c63ffff,12.93415619126984,77.61568904285714,tertiary,0.45,0.0,0.0,1.0,0.0,0.0,1,"tertiary road, 1 retail"
8960145a24bffff,12.97439966153154,77.55202260575246,residential,0.25,1.0,0.0,1.0,0.0,2.0,4,"residential road, 1 retail, 1 hospital, 2 transit"
89601458443ffff,12.986300766073043,77.53722477917766,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
89618926633ffff,12.841271856369602,77.67608765770659,trunk,0.9,0.0,0.0,1.0,0.0,0.0,1,"trunk road, 1 retail"
89601458697ffff,12.99080884181818,77.5381924490909,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
8960145b3a3ffff,13.000506923595506,77.55280597977527,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
89618925b23ffff,12.95671947512195,77.57743522487806,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8960145b187ffff,12.977854930508474,77.55312101355933,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
89618924b2fffff,12.906728093024142,77.54553021064372,secondary,0.6,0.0,0.0,2.0,1.0,0.0,3,"secondary road, 2 retail, 1 school"
8961892dd8bffff,13.071699309,77.63380811500001,residential,0.25,0.0,0.0,0.0,1.0,1.0,2,"residential road, 1 school, 1 transit"
89618924b63ffff,12.911145302575692,77.55172702381319,secondary,0.6,0.0,0.0,0.0,0.0,1.0,1,"secondary road, 1 transit"
89618925bd7ffff,12.953998096153846,77.59328995961538,tertiary,0.45,0.0,0.0,1.0,2.0,0.0,3,"tertiary road, 1 retail, 2 school"
89601458687ffff,12.991867973109244,77.53837125630251,secondary,0.6,1.0,0.0,0.0,0.0,1.0,2,"secondary road, 1 hospital, 1 transit"
896014586c7ffff,12.99887583258427,77.54125309573034,residential,0.25,1.0,0.0,0.0,3.0,2.0,6,"residential road, 3 school, 1 hospital, 2 transit"
8961892ecb3ffff,12.96949948650454,77.64773326489615,residential,0.25,1.0,0.0,0.0,4.0,0.0,5,"residential road, 4 school, 1 hospital"
8960145a423ffff,12.92674128885449,77.550806150774,secondary,0.6,2.0,0.0,1.0,0.0,1.0,4,"secondary road, 1 retail, 2 hospital, 1 transit"
8960145b637ffff,12.996968213636364,77.58466455681818,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
89618925a7bffff,12.97170600089126,77.60661222032934,primary,0.8,0.0,0.0,3.0,1.0,1.0,5,"primary road, 3 retail, 1 school, 1 transit"
8961892e057ffff,12.99596024741072,77.69473772500797,residential,0.25,0.0,0.0,3.0,0.0,0.0,3,"residential road, 3 retail"
89618925b8bffff,12.951842782178218,77.59056428316832,primary,0.8,0.0,1.0,0.0,0.0,2.0,3,"primary road, 1 market, 2 transit"
8960145862fffff,13.00298273116883,77.52602483246753,trunk,0.9,0.0,0.0,0.0,0.0,2.0,2,"trunk road, 2 transit"
89618925ddbffff,12.920058251666669,77.61039378000001,secondary,0.6,0.0,0.0,0.0,4.0,0.0,4,"secondary road, 4 school"
89618921d13ffff,12.96815739030215,77.74974262047215,primary,0.8,2.0,0.0,2.0,0.0,0.0,4,"primary road, 2 retail, 2 hospital"
8960145b563ffff,12.978973593506494,77.56441403896103,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
896189218a3ffff,12.985459871698112,77.74565409339623,residential,0.25,0.0,0.0,0.0,0.0,3.0,3,"residential road, 3 transit"
8960145a64bffff,12.958832751780474,77.57001677721031,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
89601458507ffff,12.971444367741936,77.50751578817204,primary,0.8,0.0,0.0,0.0,2.0,0.0,2,"primary road, 2 school"
8960145b1a7ffff,12.977170931692912,77.54524989232283,residential,0.25,2.0,0.0,0.0,0.0,0.0,2,"residential road, 2 hospital"
89618925b67ffff,12.962801808934968,77.5781623552273,tertiary,0.45,1.0,1.0,0.0,0.0,1.0,3,"tertiary road, 1 market, 1 hospital, 1 transit"
89618925b4fffff,12.966299189393938,77.58710270454546,primary,0.8,1.0,0.0,0.0,2.0,1.0,4,"primary road, 2 school, 1 hospital, 1 transit"
89618925bc3ffff,12.954850725490196,77.59324616862745,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8960145a64fffff,12.958029397560976,77.56726194959349,tertiary,0.45,1.0,0.0,1.0,0.0,1.0,3,"tertiary road, 1 retail, 1 hospital, 1 transit"
89618921887ffff,12.98348239047619,77.75207005873015,primary_link,0.2,0.0,0.0,1.0,0.0,5.0,6,"primary_link road, 1 retail, 5 transit"
8960145a643ffff,12.956828634883722,77.56901070465116,primary,0.8,2.0,0.0,0.0,0.0,1.0,3,"primary road, 2 hospital, 1 transit"
89618925c7bffff,12.934436243548388,77.61686556693547,residential,0.25,0.0,0.0,0.0,1.0,0.0,1,"residential road, 1 school"
8960145b3b3ffff,12.998581543076922,77.55544920461537,residential,0.25,1.0,0.0,0.0,2.0,5.0,8,"residential road, 2 school, 1 hospital, 5 transit"
8960145b16fffff,12.997282609195402,77.54613291264367,secondary,0.6,0.0,0.0,0.0,1.0,1.0,2,"secondary road, 1 school, 1 transit"
89618925b0fffff,12.958067222997222,77.58228585922204,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
89618925867ffff,12.946510044,77.595000058,primary,0.8,5.0,0.0,0.0,2.0,1.0,8,"primary road, 2 school, 5 hospital, 1 transit"
8960145b58fffff,12.965411966666668,77.57049059777778,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145a26fffff,12.973659886956522,77.5411807942029,primary,0.8,2.0,0.0,0.0,1.0,1.0,4,"primary road, 1 school, 2 hospital, 1 transit"
89618925b0bffff,12.95844314516129,77.58656522193549,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
8960145b457ffff,12.982438489473685,77.59496082105264,primary,0.8,1.0,0.0,0.0,0.0,1.0,2,"primary road, 1 hospital, 1 transit"
8960145a143ffff,12.942036456666669,77.52545892666667,trunk,0.9,0.0,0.0,0.0,1.0,4.0,5,"trunk road, 1 school, 4 transit"
896189258cfffff,12.94321387,77.60797824433332,residential,0.25,0.0,0.0,1.0,1.0,0.0,2,"residential road, 1 retail, 1 school"
8960145a6d7ffff,12.944997488338773,77.571519570823,tertiary,0.45,1.0,0.0,1.0,0.0,1.0,3,"tertiary road, 1 retail, 1 hospital, 1 transit"
8960145b103ffff,12.985561885106382,77.55318349650456,residential,0.25,1.0,0.0,0.0,1.0,0.0,2,"residential road, 1 school, 1 hospital"
8960145b18fffff,12.97998700376429,77.55448012234746,secondary,0.6,2.0,0.0,0.0,1.0,2.0,5,"secondary road, 1 school, 2 hospital, 2 transit"
89618924adbffff,12.911443406071829,77.58739421877435,residential,0.25,0.0,0.0,0.0,1.0,0.0,1,"residential road, 1 school"
8961892e933ffff,12.983883998171995,77.60533003196721,unclassified,0.3,1.0,1.0,0.0,0.0,0.0,2,"unclassified road, 1 market, 1 hospital"
8960145b597ffff,12.96030039047619,77.57235817460318,secondary,0.6,2.0,0.0,0.0,1.0,0.0,3,"secondary road, 1 school, 2 hospital"
89618924e67ffff,12.90305162121212,77.58577336666667,tertiary,0.45,1.0,0.0,1.0,1.0,2.0,5,"tertiary road, 1 retail, 1 school, 1 hospital, 2 transit"
8960145a35bffff,12.966079725451612,77.53492670887097,tertiary,0.45,1.0,0.0,1.0,1.0,3.0,6,"tertiary road, 1 retail, 1 school, 1 hospital, 3 transit"
8960145b543ffff,12.978370187439946,77.57409091671242,living_street,0.15,1.0,0.0,0.0,1.0,43.0,45,"living_street road, 1 school, 1 hospital, 43 transit"
8960145b433ffff,12.976304530555556,77.5833832688889,secondary,0.6,0.0,0.0,0.0,3.0,2.0,5,"secondary road, 3 school, 2 transit"
8960145b58bffff,12.96706513769814,77.57431669207443,tertiary,0.45,0.0,1.0,0.0,0.0,3.0,4,"tertiary road, 1 market, 3 transit"
89618925367ffff,12.961141690714284,77.63715458928571,primary,0.8,0.0,0.0,2.0,1.0,9.0,12,"primary road, 2 retail, 1 school, 9 transit"
8960145b423ffff,12.978769179977505,77.58104184814398,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8960145b41bffff,12.980033774647888,77.59310274882628,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8960145b4a3ffff,12.9704247,77.58632466666667,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
8960145b453ffff,12.983324488461538,77.59741320384616,primary,0.8,0.0,0.0,0.0,0.0,6.0,6,"primary road, 6 transit"
8960145b44fffff,12.988773797336137,77.59221423396566,tertiary,0.45,1.0,0.0,1.0,1.0,2.0,5,"tertiary road, 1 retail, 1 school, 1 hospital, 2 transit"
89618925c67ffff,12.933038489583334,77.61324174375,tertiary,0.45,0.0,0.0,0.0,0.0,3.0,3,"tertiary road, 3 transit"
8960145b253ffff,13.02169505277989,77.58440349519222,trunk,0.9,0.0,0.0,0.0,0.0,2.0,2,"trunk road, 2 transit"
896189254a3ffff,12.917235578011166,77.6728557213768,primary,0.8,1.0,0.0,0.0,0.0,0.0,1,"primary road, 1 hospital"
8960145b40fffff,12.980891453687214,77.5882454584965,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8960145b307ffff,13.00844448062599,77.55470298613312,tertiary,0.45,2.0,0.0,0.0,0.0,2.0,4,"tertiary road, 2 hospital, 2 transit"
8960145b513ffff,12.96865665,77.570672175,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8961892e3b7ffff,12.996722452990907,77.66935016452817,trunk,0.9,0.0,0.0,0.0,0.0,1.0,1,"trunk road, 1 transit"
89618921d8fffff,12.965534819354838,77.74901671290323,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892eca3ffff,12.970376656964726,77.64547555843713,tertiary,0.45,0.0,0.0,1.0,0.0,0.0,1,"tertiary road, 1 retail"
89618920ba3ffff,12.948677587542106,77.69935012175641,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
8960145a22fffff,12.965393336614648,77.53743660434021,secondary,0.6,0.0,0.0,1.0,0.0,1.0,2,"secondary road, 1 retail, 1 transit"
89618921d1bffff,12.970521559377303,77.7500404429342,primary,0.8,0.0,0.0,1.0,1.0,1.0,3,"primary road, 1 retail, 1 school, 1 transit"
89618925877ffff,12.944737365934063,77.59707395714285,primary,0.8,2.0,0.0,1.0,1.0,1.0,5,"primary road, 1 retail, 1 school, 2 hospital, 1 transit"
8961892e917ffff,12.98227253978252,77.61064010486254,tertiary,0.45,1.0,0.0,1.0,1.0,0.0,3,"tertiary road, 1 retail, 1 school, 1 hospital"
8960145b097ffff,12.98368219267794,77.57752282212485,residential,0.25,0.0,0.0,0.0,1.0,1.0,2,"residential road, 1 school, 1 transit"
896189264d3ffff,12.819783003508771,77.68780519649123,tertiary,0.45,0.0,0.0,0.0,0.0,3.0,3,"tertiary road, 3 transit"
89618925b13ffff,12.954086514285716,77.58869076571429,living_street,0.15,0.0,0.0,0.0,2.0,0.0,2,"living_street road, 2 school"
89618925b37ffff,12.951806292119104,77.5769149033721,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
89618925c23ffff,12.9263965,77.60893107142859,secondary,0.6,1.0,0.0,0.0,0.0,0.0,1,"secondary road, 1 hospital"
8960145b1b7ffff,12.974564867906684,77.54731902390996,primary_link,0.2,1.0,0.0,1.0,0.0,0.0,2,"primary_link road, 1 retail, 1 hospital"
89618925c8fffff,12.92022796227606,77.62091531521847,trunk,0.9,0.0,0.0,3.0,2.0,2.0,7,"trunk road, 3 retail, 2 school, 2 transit"
8961892eeb3ffff,12.991776532903224,77.65229556580645,secondary,0.6,0.0,0.0,0.0,0.0,7.0,7,"secondary road, 7 transit"
8961892ed1bffff,12.97180688852459,77.63050350819672,residential,0.25,1.0,0.0,0.0,5.0,0.0,6,"residential road, 5 school, 1 hospital"
8961892582bffff,12.944989466586373,77.59496069659004,tertiary,0.45,0.0,0.0,0.0,2.0,0.0,2,"tertiary road, 2 school"
8960145b4cbffff,12.981301808412145,77.5985695022897,residential,0.25,1.0,0.0,0.0,0.0,1.0,2,"residential road, 1 hospital, 1 transit"
8960145940fffff,13.033080171830983,77.55840507957747,secondary,0.6,1.0,0.0,0.0,0.0,0.0,1,"secondary road, 1 hospital"
8960145b467ffff,12.984402392857143,77.58242378928571,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
8960145857bffff,12.979805508695652,77.5106104347826,tertiary,0.45,0.0,0.0,0.0,1.0,1.0,2,"tertiary road, 1 school, 1 transit"
8961892584bffff,12.951592335454546,77.60755278727274,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
89618925a2fffff,12.965459688235295,77.59655171764706,tertiary,0.45,1.0,0.0,0.0,0.0,1.0,2,"tertiary road, 1 hospital, 1 transit"
896014582dbffff,13.017430917449664,77.53151173713647,trunk,0.9,0.0,0.0,0.0,0.0,2.0,2,"trunk road, 2 transit"
8960145a32bffff,12.958434106282724,77.51905571623037,secondary,0.6,0.0,0.0,0.0,1.0,3.0,4,"secondary road, 1 school, 3 transit"
896189264dbffff,12.821077838095237,77.68715893333334,trunk,0.9,0.0,0.0,0.0,0.0,2.0,2,"trunk road, 2 transit"
89618925c07ffff,12.92591825,77.61683962692308,residential,0.25,4.0,0.0,0.0,2.0,0.0,6,"residential road, 2 school, 4 hospital"
8960145a12fffff,12.935526066666666,77.51225262916667,trunk,0.9,0.0,0.0,0.0,0.0,5.0,5,"trunk road, 5 transit"
8961892e8b7ffff,12.981390139130434,77.62847334782609,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89601458683ffff,12.993478694594597,77.53911756486487,secondary,0.6,3.0,0.0,0.0,2.0,0.0,5,"secondary road, 2 school, 3 hospital"
8960145b0dbffff,12.9956443930625,77.58472546114955,unclassified,0.3,0.0,0.0,1.0,0.0,0.0,1,"unclassified road, 1 retail"
8960145b083ffff,12.985880061377877,77.57849939856584,residential,0.25,2.0,0.0,1.0,1.0,2.0,6,"residential road, 1 retail, 1 school, 2 hospital, 2 transit"
89618925bcfffff,12.957729236842106,77.59270094736843,primary,0.8,1.0,0.0,0.0,0.0,2.0,3,"primary road, 1 hospital, 2 transit"
