h3_9,lat,lon,nearest_highway,road_criticality,hospital,market,retail,school,transit,n_poi,osm_context
89618924a5bffff,12.919676969387757,77.58368588163265,secondary,0.6,1.0,0.0,1.0,0.0,0.0,2,"secondary road, 1 retail, 1 hospital"
89601458ed3ffff,12.999466585185186,77.48873818333333,secondary,0.6,0.0,0.0,0.0,0.0,1.0,1,"secondary road, 1 transit"
89601459013ffff,13.045312964285714,77.54811969285713,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618927223ffff,12.910214321621622,77.68603428378378,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8961892c14bffff,13.048671842857145,77.64561411428572,primary,0.8,0.0,0.0,1.0,1.0,0.0,2,"primary road, 1 retail, 1 school"
8960145a647ffff,12.954969318181815,77.56635536363636,tertiary,0.45,1.0,0.0,1.0,0.0,0.0,2,"tertiary road, 1 retail, 1 hospital"
8961892edd7ffff,12.967650042105262,77.63668938947369,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
8960145a2c3ffff,12.964265021153846,77.55568736000001,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892ea43ffff,13.023386185714283,77.64263695714286,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145a2a3ffff,12.954716532515684,77.54431070629376,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
896014585b3ffff,12.961015615789472,77.50890953157895,secondary,0.6,0.0,0.0,1.0,0.0,1.0,2,"secondary road, 1 retail, 1 transit"
89601459443ffff,13.03830273888889,77.56601653333333,unclassified,0.3,1.0,0.0,1.0,0.0,0.0,2,"unclassified road, 1 retail, 1 hospital"
89618925c2bffff,12.930751179999998,77.61051024000001,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
89618925883ffff,12.93467148,77.60635718,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618924b67ffff,12.909709997310078,77.54970452602205,residential,0.25,0.0,0.0,3.0,0.0,2.0,5,"residential road, 3 retail, 2 transit"
89601458c53ffff,12.985470264716389,77.47972947285714,primary,0.8,2.0,0.0,1.0,1.0,1.0,5,"primary road, 1 retail, 1 school, 2 hospital, 1 transit"
8960145a137ffff,12.930313361599298,77.51487523523078,secondary,0.6,0.0,0.0,0.0,2.0,0.0,2,"secondary road, 2 school"
8960145934fffff,13.06973364090909,77.52981482727272,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
89601459537ffff,13.01976483446602,77.53187313786408,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
896016961b7ffff,13.081085859999998,77.54833352,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89601459babffff,13.058390966666666,77.46642152222222,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892734bffff,12.913746583114548,77.67806672008925,primary,0.8,2.0,0.0,1.0,2.0,0.0,5,"primary road, 1 retail, 2 school, 2 hospital"
89618927327ffff,12.902058663333332,77.66082450666666,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145b08fffff,12.98776223627204,77.57508167783375,residential,0.25,0.0,0.0,0.0,1.0,2.0,3,"residential road, 1 school, 2 transit"
89618924e97ffff,12.884657659716806,77.59671508100674,primary,0.8,0.0,0.0,0.0,1.0,2.0,3,"primary road, 1 school, 2 transit"
8960145b143ffff,12.99257217734375,77.55755571640626,residential,0.25,0.0,0.0,0.0,1.0,0.0,1,"residential road, 1 school"
89618920e7bffff,12.95698136,77.74006965333334,primary,0.8,2.0,0.0,0.0,0.0,0.0,2,"primary road, 2 hospital"
8961892eca7ffff,12.969621295839772,77.64139877461123,primary,0.8,1.0,0.0,0.0,0.0,1.0,2,"primary road, 1 hospital, 1 transit"
89618920ed7ffff,12.943299788235294,77.74977441764706,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89601451d6bffff,12.878552925,77.4453608,trunk,0.9,0.0,0.0,0.0,1.0,0.0,1,"trunk road, 1 school"
8961892586bffff,12.951175461538462,77.5984139346154,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618924d73ffff,12.872579838888887,77.56651447777777,tertiary,0.45,0.0,0.0,1.0,0.0,2.0,3,"tertiary road, 1 retail, 2 transit"
8961892e12bffff,12.988615339130437,77.6635804347826,residential,0.25,0.0,0.0,0.0,1.0,0.0,1,"residential road, 1 school"
8961892ea57ffff,13.021464088888887,77.64081746666666,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892729bffff,12.904521939831316,77.7021122560243,primary_link,0.2,0.0,0.0,0.0,0.0,0.0,0,primary_link road
89601459e73ffff,13.059869299495876,77.50678835194437,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
89618920807ffff,12.9385784,77.71762257500001,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892728bffff,12.906309006321584,77.69814747460545,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
89618924933ffff,12.87931868539574,77.5453152246966,trunk,0.9,1.0,0.0,0.0,1.0,0.0,2,"trunk road, 1 school, 1 hospital"
8960145ae37ffff,12.945383814285716,77.4955632642857,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
89618927233ffff,12.90935253125,77.68811378125,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
896016965b3ffff,13.0660362125,77.57048845,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
896016962bbffff,13.115095583333334,77.57867841666668,residential,0.25,0.0,0.0,1.0,0.0,1.0,2,"residential road, 1 retail, 1 transit"
8960145a203ffff,12.964440713333332,77.54912069333334,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892493bffff,12.881891287662354,77.54629647280869,trunk,0.9,1.0,0.0,0.0,1.0,1.0,3,"trunk road, 1 school, 1 hospital, 1 transit"
8961892589bffff,12.934944113207548,77.60914936037736,primary,0.8,1.0,0.0,1.0,1.0,0.0,3,"primary road, 1 retail, 1 school, 1 hospital"
8961892ca77ffff,13.072688576470588,77.60382186470588,secondary,0.6,0.0,0.0,1.0,0.0,0.0,1,"secondary road, 1 retail"
8960145908fffff,13.041625083333336,77.54715331666667,trunk,0.9,0.0,0.0,0.0,0.0,0.0,0,trunk road
896189248cbffff,12.891824736842104,77.58144459473684,residential,0.25,2.0,0.0,2.0,0.0,1.0,5,"residential road, 2 retail, 2 hospital, 1 transit"
